event/_date,event/_name,result/_winner,result/_type,result/__text,player/0/_color,player/0/_name,player/1/_color,player/1/_name,moves/_game,moves/_type,moves/__text
2004-05,yahoo japan,black,normal,51-12,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4f4c5b4c6e6f6b3a4g6g5h6e3f3g4h5h3g3e2d2d1c1b1e1f1c2f2e7d7f7e8b6b5a3a5a6f8c8d8g8h2c7b7g2b8a8a7g1h1h4b2a2a1g7h7
2004-05,yahoo japan,white,lost-on-time,00-64,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4f4e3f6c6c5d7e7e6b6g3f3b5a5g4f7c7g5h6h4e8f8h5h7d8g6g8h3f2b4b3f1g2c8b8h1a4h2g1e1e2d1d2a6a7c2
2004-05,yahoo japan,black,normal,42-22,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4f4f6g5e6f7d7c6c7c5e7e3b4f3b6e8d2c8d8b5a6a5a4e2g6a3a2b3h4h5c2h3f1d1g4g3e1g1f2b8h7a7a8b7h6h8f8g2h1h2c1b1b2a1g7g8
2004-05,yahoo japan,white,normal,31-33,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4f4f6g5e6c5f3g3e3b4b6b5g4h4h6h5g6h7c7d7c6e7a6a5c8f7f8a7h2e8d8b3a3e2a4a2f1c2d2d1e1c1g2g7h8h3g8f2b1b7a8b8a1b2g1h1
2004-05,yahoo japan,white,lost-on-time,00-64,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4f4e6f6e3c5g5g3g4h4h2f3h6d2e2b3c2f2g6e1d1f1g1b1a3b2b4c1a1b5a6a2f7e7e8g8a4h3h5g7c7c6d7c8d8f8b6a5
2004-05,yahoo japan,black,normal,36-28,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4b3c6f4e6c5b5a6e3f3a4b6b4d7c7c8d2e2a3g6e8d1g5c2g4h4h3h6h5h2f2d8b8f6e7g3f1e1c1a5a7b1f7g1b2f8g7a8b7g8h8a2a1h7h1g2
2004-05,yahoo japan,white,lost-on-time,00-64,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c6f4e6g5f6c4c5b3e3f3g3e7c2d7c7b4e2g4b6b5d2f2a3f1e1d1c1b1g2a4a5b2h6h5h4h1a1a2f8e8g1c8b7h2h3a8b8h7g6f7
2004-05,yahoo japan,black,lost-on-time,64-00,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c3d3c4f4f6b5b4g5e6c5f3f7e3e7a6g4b6g3h3b3c6a5h4a4d7c2h5g6d8c8f8c7a3e8b8g7c1d2d1e2e1f2f1h6a7g2h7b7h2h1g1h8a8g8b1b2
2004-05,yahoo japan,black,lost-on-time,64-00,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5f6e6f4g6d6e3d3g4e7f3e2d2f2c4c3c5b5e1f1g1c2f7g3d1g5c6f8h6h4h5h7h2c7a6b4d7c8b6a5a4a3a2c1b1b3a7b7a8b8e8d8g7h8g8h3g2
2004-05,yahoo japan,white,normal,19-45,black,seeley ben,white,suekuni makoto,othello-8x8,flat,f5d6c5f4e3c6d7e6f6d3c7d8c8e7f7b8c4e8e2g4g5b5b6d2f3b4c3g3h4a5f8g8a3c2c1d1f2e1f1g6a6a7b1b3h7g2a4a2h1h6h5h3h2g1b2a1g7h8b7a8
